	Celestial Amphitheatre	Astral Arboretum	Cosmic Canopy			Stellar Staircase	Nebula Nexus						
	Starstruck Sanctuary	Cosmic Conservatory	Planetary Parlor	Meteor Shower Balcony	Cosmic Stairwell	Astral Antechamber	Quasar Quarters				Cosmic Kitchen	Plutonian Pantry	
		Interstellar Library	Comet's Alcove				Supernova Sanctuary	Infinity Attic	Orbiting Observatory	Stardust Saloon	Nova Nook		
			Enchanted Forest				Galaxy Gallery	Celestial Hall Of Mirrors	Twilight Thicket	Stargazing Plateau			
			Sunset Bridge							Lunar Gaze Pond			
			Deserted Gas Station	Enchanted Clearing	Whispering Woods	Deserted Cabin	Luminous Glade			Moonlit Meadow			
			Mysterious Forest	Hidden Grove						Stellar Conservatory	Galactic Greenhouse		
	Courtyard	Neighbour's House	Norther Road	Strange Shed							Eclipse Orchard		
Patio	Kitchen	Study	North Road	Factory									
Garden	Hall	Driveway	Road	Frozen Moorland	Crystal Cave	Odd Cave							
Living Room	Corridor	Front Garden	Secret Garden	Forgotten Pathway	Ancient Gatehouse	Abandoned Outpost							
Kids' Bedroom	Another Corridor	Garage		Shadowy Hollow	Celestial Observatory								
	Master Bedroom	Home Office	Garden Shed	Glowworm Grotto	Stargazer's Summit								
